,ReviewID,Page Type,Full Text,Rating
9,10,review,This is my third Fitbit and this is the worst one ever. The Fitbit flex and the Fitbit Alta were amazing. The inspire 2. constantly goes into do not disturb mode it goes into water lock mode and it constantly drops notification alerts I’ve tried numerous times to reset it. I will never get another Fitbit again ever I don’t recommend it. It has been one of the most frustrating things I have ever purchased. It’s time to move to an Apple Watch I guess. What a waste of money,1
115,116,review,"Edit 4/25/2021: On 4/24 I went walking with some friends; we walked approximately 1.5 miles. We wrote down what our starting tracker numbers were. At the end of the walk everyone else's trackers tracked between 2259 and 2296 steps. My Amazfit had tracked a whooping 102 steps. On the ride in the car back to the house, my Amazfit tracked me as taking 59 steps. :-( Needless to say, the Amazfit is going back. I have ordered a Fitbit Charge 4, as having only Fitbit trackers, I know they are reliable. I will be sticking to Fitbit trackers in the future. *************************** Was super excited to order and get this tracker. It came when it was supposed to. I took it out of the package and charged it fully. I put it on last Wednesday evening before going to bed. The first thing I noticed about it on Thursday evening was that my steps were very low, so low that on Friday morning I put on the tracker that I had been wearing to compare. I also turned on the steps app on my phone. I have done all three devices over the weekend and all day today, Monday, and this tracker, at the end of every day, has been more than 3500 steps different than the other two. I know that all trackers are different and will not measure the same, but more than 3500 steps different is not acceptable. I really like the sleep tracker. It gives a lot of useful information. Compared to my old tracker, the times are within 5 minutes of each other, so that seems okay. Battery life is a joke. They say two weeks battery life; my died after not quite 5 days (Wednesday evening @ about 7:00 to Monday afternoon at about 3:00 until it was completely dead. Apparently, if you turn on any of the features that it has, heart rate monitoring, it substantially reduces the battery life. The only extra thing I turned on was the heart rate monitoring. I do not play music, hook up or use it as a phone, or any of the many other things you can do with it. I only used it as a step tracker, sleep monitor, and heart rate monitor. (After a second 5 days passed, once again, I had to recharge it as it was at 3%). I could live with the short battery life if the step tracker was even remotely correct, but more than 3500 steps off every day is not acceptable to me. Super disappointed because there are a lot of nice features about this tracker. One of my collogues also bought one of these: She is how I found out about the tracker in the first place. She has found that, like mine, her's is also completely off in the step tracking. She too spent several days with two trackers attached to her arm. We are both very disappointed. Back to the name brand trackers.",1
364,365,review,"this was my second fitbit purchase after my original versa broke. before it broke, i did enjoy using it so i opted for the versa 2. with the original versa, i would take it in the water, etc. because there was a feature for swim tracking so i thought it was waterproof. but it stopped working when i was in the water - so versa 2 i was extra careful to not let it anywhere near water. now it hasn't even been a full 6 months since purchase and it has stopped working. i was charging it during my shower and after i came out of the shower and checked, all my data for the day was gone when in the morning, it was working fine. so i proceeded to restart the versa hoping that would help. but instead, the screen would never turn back on. i called fitbit customer service and they told me to do stuff like wipe the versa, wipe the charger, restart (mind you i did all these things before i called) and it just seemed like a waste of time. honestly, this is kind of ridiculous for a watch i paid $150 for. i'm thinking of switching to apple watch instead since this is the second time this has happened. realize i could've just gotten a nice, functioning apple watch for the price of 2 fitbit versas that broke lol.",1
415,416,review,"I was so excited about this device, and I’ve been an early adopter since Oct. I’m moderately active and have used Fitbit for my regular wellness tracking and Apple Watch for my workouts. I like the Fitbit app, the data and analytics available to users and the variety of devices in their line up - however I’ve found the devices themselves to be fragile and prone to needing replacement constantly. And their customer service is nonexistent My Apple watch is great for workout tracking but is too clunky to wear 24/7 for other wellness tracking, and isn’t ideal for things like steps, overall calories burned, etc So I was THRILLED to have another option, and I’m a long time Amazon device devotee. The app is a good start, I love the idea of a lineup of prescriptive wellness labs for everything from workouts to calming exercises and binaural beats. However, the data accuracy of this device renders everything else about it COMPLETELY unusable. It’s all over the place with readings on every data category. I could have a full blown meltdown screaming match one day and be totally silent the next, my tone would register the same. I could sleep like a baby for 8hrs uninterrupted according to Fitbit one night and halo would register 8 sedentary hours and dock my activity score. The activity score is an attempt at something more dynamic than steps but the sedentary hour subtractions are frustrating (even when they’re right) and demotivating - it’s not ‘standing hours’ like you might think - the device tracks EVERY MINUTE OF EVERY DAY that you are sitting, and combines them for a total sedentary time. Work 8 hours but get up every hour at the :30 for a 10 min walk? You might call that 8 moving hours, halo calls it 6hrs40m sedentary. Better not sit again all day or you’ll lose points And worst of all, the workout tracking- I run 1hr50min 5 days/wk for years. I’m extremely consistent, it’s almost the same run every single day. But don’t tell halo that - my 12.5miles my Apple Watch is tracking? The same workout on the same wrist, halo says I logged 2,000ish steps. Barely 1 mile",1
1073,1074,review,"A few months ago, I started following a 5k to marathon program, so my wife got me this for my Birthday in order to track my runs. It worked well enough for a few weeks (about 95% accuracy when compared to mapping my run online). After about a month, I noticed my runs getting less and less accurate to the point that it is completely useless for that activity. It will only register running paces between 8:30-9:00 minutes/mile. Once I was running 10+ miles, it would be about 2.5 miles off after each run when compared to online run mapping or my running app on my phone. The odd thing is that this fitbit versa 2 uses the GPS in my phone, so I’m not sure why it is so wildly different than my phone’s running app. I went back to my old Garmin which has its own dedicated GPS. Other points: - love the battery life (lasts 5-6 days) - decent as a sleep tracker - app is useful",1
1093,1094,review,Will not latch to my Fitbit charge 3. lol - made in China...,1
1241,1242,review,very unhappy with the battery life and clock face that keeps changing to the wrong date. i have called fitbit twice and although they are very nice on the phone they did not solve my issues. sent me a link to read about how to deal with the battery on line. had an earlier fitbit which i loved but am very very unhappy with the Versa 2. read carefully before making the purchase - get an apple watch!,1
1388,1389,review,"So first, the good. The screen is beautiful, especially given the tiny size, and setup was extremely simple. But that already brings us to the bad. Setup was simple, but pairing it to my phone was not. This is when I first learned that Wyze is beta-testing this unfinished product. Trying to search for help with my issue was fruitless, turning up a couple of forum threads where Wyze employees merely echoed the quuck start guide. I was able to figure out what they apparently didn't know, and get connected, and immediately ran into more disappointment. First was the watch face. It is clearly set up for 24-hour format, to the point where all times are shown in ""00:00"" format (with leading zero) regardless of AM or PM. So for example, 3AM and 3PM both read as 03:00, and there is no means of switching to 24-hour format. I would just write this off as me being nitpicky, but when you look at the clock in settings in the app IT SHOWS 24-HOUR FORMAT! I was tempted to return based on this alone, as it was a clear indicator of the poor quality of the software, but I decided to keep poking around, and that's when I noticed the weather. I don't know where they get their weather data, because I've never seen a provider that was so consistently wrong. It indicated 69F(20C) despite FIVE other weather providers indicating 68-70F. I'm used to some variance, but 6F is just too much, and even the forecasts were significantly lower than the forecasts of the other weather providers I used for comparison (Dark Sky, AccuWeather, etc.). I've heard folks have trouble with basically every other function of the device, and after just an hour with the band I now believe every word. There's a ton of potential here, and the screen is GORGEOUS, but at present the Wyze Band is not worth its (very, very low) price. Also, I feel like it's too tall, but that's just a matter of taste.",1
1426,1427,review,"My FitBit Charge 2 ¨died¨ last month. It had made me happy in every way for the four years it lasted. Great product which has kept me and my doctors very happy and up to date on my fitness! Decided to purchase the newest Charge 4 , last month., on the 25 June. Two days later days later the battery completely emptied out. Checked all the instructions, updates, stats and reset options, but no real reason. FYI- battery should last about 4 days, as I do not use any peripheral apps or gadgets. Since that time the battery has been zapped three times after 24 hours. last week Called Customer service, and the (very Professional, very empathetic) agent thoroughly checked all options and troubleshooting tricks, until he confirmed that the reset button was flawed. He sent me a return label immediately. I have returned the product, and am waiting for my new, FitBit Charge 4 replacement! Don't get me wrong! I AM A FITBIT fan! Hope that this replacement will function as excellently as my first one, for the next 4 years at least! Update OK ...This is 5 days after returning the product via USPS: No feed back or ack from FitBit about receiving it. I was informed that they will send me a new replacement only after they receive the flawed one. Crossing fingers... To be continued... Latest UPDATE: 02 Aug, 2020...Very frustrated and disappointed! This is continuation of an exchange process that apparently has gone awry. I did receive a reply six days after my previous comments, in which I was informed that ""yes"" the product tracking showed it was at the last stage before arriving at the FitBit return facility. To add to the confusion FitBit emailed me a USPS return label, but in their response to my query sent me a tracking link by FEDEX.. As hope ebbs on the replacement action , and the fact that I was depending on that FITBIT4 to monitor my daily pro health activities, today, after more than eight days of the stalled tracking, I have emailed FitBit the following: Hello, once again... Please advise what is happening to my return package, sent back via your direct USPS Return Label sent to me back on the 21 or 22 July... I am more than anxious at this point about my ever receiving the exchanged FitBit 4 that was agreed to and promised. Your Customer Service has the record of the report set up by that office after verifying extensively that this FitBit 4 product was flawed and had a defect in the reset button, etc. At this point I want to reconfirm that you have finally received the product in question, so you can send me a properly working one as soon as is feasible. If this is too complicated or problematic for you, I suggest the alternate solution refund my credit card for the purchased amount. Truly, I have never had such a delay and problems with any exchanges or returns with direct vendors, much less Amazon ones. Usually once the Postal service or courier reconfirms that they have processed the return label code, the vendor immediately initiates the mailing of the replacement product, or simply refunds the customer. I have reverified all delivery tracking this morning, like every morning since I sent the FitBit4 back, but since the 25 or 26 July the tracking information seems to stop at the last stage in California. I can send you a screen shot if you have no way of seeing the information I just wrote about. I am kindly requesting that you respond with a solution ASAP: Thank you. It is 10:59 am CST 02 Aug, 2020",1
1497,1498,review,"I was very excited to get my Fitbit charge 4 yesterday. Got it set up, wore it all evening, all night, all day today. It was GREAT! I'm returning it for a full refund... it does not allow me to respond to gmail or to texts (because it does not support Textra). It is WAYYY more frustrating to get text notifications on my watch, then have to pick up my phone to respond.... same with gmail. There is NO REPLY option. Only delete, clear, or open. clicking open takes me back to the clockface. FRUSTRATING. I'd rather NOT have this than to have to live with this frustraction every day. I NEED textra so when clients text me at 10pm I can program my response to go to them at 8:01 am. Sorely disappointed. What a complete oversight this is for fitbit not to foresee this with avid android users who do not use stock apps.",1
