,Full Text,Ease of Use
0,"['nephew fact ', 'waterproof finding black deal']",0
1,"['series amazing ', '', 'health ', 'attention']",0
2,"['gem durability ', 'battery life day hunt']",0
3,"['stopped charging ', 'bummed buy ', 'glad ', 'faster ', 'clear']",0
4,"['super work great ', 'price highly recommend']",0
5,"['excellent ', 'space gray ', 'great leaves access ', 'switch easily']",0
6,['great that'],0
7,"['', 'husb', 'airy wear ', 'working garden lot']",0
8,"['love everyday learn ', '', 'lot money']",0
9,"['item perfect imagine spending ', 'true love love love big game changer']",0
10,"['bought ', 'relative series love ', 'enjoying ', 'learning bought']",0
11,"['sport ', 'bought ', 'fell ', 'broke bought ', 'brand']",0
12,"['forerunner heart rate monit', 'running black excellent convenient heath wellness']",0
13,['great affordable attractive'],0
14,"['love stylish ', '', 'cant heart rate ', 'burning']",0
15,['price though previous generation'],0
16,"['', 'large display menu color']",0
17,"['salesman patient friendly ', 'knowledgeable ', 'love buy']",0
18,"['love easy wear ', 'closure stays tightly closed bought ', 'series ', 'perfectly']",0
19,"['capacity ', 'longer cord ', 'regular charger bit length love']",0
20,"['love col', 'addition ', 'wear ', 'day ', '', 'recharge']",0
21,"['series ', 'match perfectly ', 'face sharp']",0
22,['comfortable ordered miscellaneous but'],0
23,"['charge charge returned charge ', 'uncomfortable wear']",0
24,"['', '', 'broke track sleep didnt ', 'work ', 'keeping track junk']",0
25,"['wont charge phone pro charge series edition ', 'wont work phone disappointed']",0
26,"['charger ', 'doesnt work fit rubber sleeve ', 'charge completely purpose purchase']",0
27,"['love charge ', '', 'connection broke glued plastic piece ', 'tape']",0
28,"['', 'hey android pretty fair purchase product work dont recommend honestly']",0
29,"['received charger worth time return bought ', 'hope kind bummer']",0
30,"['bumper protect ', 'difficulty']",0
31,['nice fit series stay locked loose returned'],0
32,"['bumper ', 'scratch ', 'work perfectly']",0
33,['stuff but'],0
34,"['market ', 'cant stretch great life mate']",0
35,"['hard connect charge phone ', 'though list ', 'compatible days']",0
36,"['faded bad ', '', 'luck']",0
37,"['ended ', 'connect ', '', 'worked great']",0
38,"['nice charge ', '', 'month start lift reseal ', 'eventually start lifting']",0
