,Unnamed: 0,ReviewID,Page Type,Full Text,Rating,SegmentedReview,SegmentedReview_processed_reviews,Hedonic Motivation,Connectivity Support,Customizability,Perceived Ease of Use,Appeal,Perceived Value,Perceived Usefulness,Device Quality,Credibility Support
1,11193,11194,review,i love the new features this apple watch has. easy to use,5,"""i love the new this apple watch ha .', 'easy to use""","`` i love the new this apple watch ha . ' , 'easy to use ''",0,0,0,1,0,0,0,0,0
2,11475,11476,review,easy to put on and protects the apple watch great.,5,"""easy to put on and protects the apple watch great .""",`` easy to put on and protects the apple watch great . '',0,0,0,1,0,0,0,0,0
3,12084,12085,review,great apple watch with wonderful features. easy to setup,5,"""great apple watch with wonderful .', 'easy to setup""","`` great apple watch with wonderful . ' , 'easy to setup ''",0,0,0,1,0,0,0,0,0
8,32711,32712,review,love my apple watch. does everything i expect it to and more!,5,"""love my apple watch .', 'does everything i expect it to and more !""","`` love my apple watch . ' , 'does everything i expect it to and more ! ''",0,0,0,0,0,0,1,0,0
11,32968,32969,review,"i love my apple watch, it's very confortable and easy to use.",5,"""i love my apple watch ,', 'it's very confortable and easy to use .""","`` i love my apple watch , ' , 'it 's very confortable and easy to use . ''",0,0,0,1,0,0,0,0,0
12,33264,33265,review,best apple watch yet it's super sleek and fun! \ngreat choice,5,"""best apple watch yet it's super sleek and fun !', '\\ngreat choice""","`` best apple watch yet it 's super sleek and fun ! ' , '\\ngreat choice ''",1,0,0,0,0,0,0,0,0
13,33265,33266,review,"best apple watch yet. battery life is amazing, built tough",5,"""best apple watch yet .', 'battery life is amazing ,', 'built tough""","`` best apple watch yet . ' , 'battery life is amazing , ' , 'built tough ''",0,0,0,0,0,0,0,1,0
14,33593,33594,review,this was adaptable to use with my apple watch. very satisfied.,5,"""this wa adaptable to use with my apple watch .', 'very satisfied .""","`` this wa adaptable to use with my apple watch . ' , 'very satisfied . ''",1,0,0,0,0,0,0,0,0
20,34077,34078,review,replaced my fitbit with the apple watch and have been very happy.,5,"""replaced my fitbit with the apple watch and have been very happy .""",`` replaced my fitbit with the apple watch and have been very happy . '',1,0,0,0,0,0,0,0,0
23,34663,34664,review,love my apple watch great way to keep track of my fitness goals,5,"""love my apple watch great way', 'to keep track of my fitness goals""","`` love my apple watch great way ' , 'to keep track of my fitness goal ''",0,0,0,0,0,0,1,0,0
32,35257,35258,review,i appreciate the information and accuracy of the fitbit charge 4.,5,"""i appreciate the information and accuracy of the fitbit charge 4 .""",`` i appreciate the information and accuracy of the fitbit charge 4 . '',0,0,0,0,0,0,0,1,1
45,3843,3844,review,great apple watch i love it so much easy to use. i love it.,3,"""great apple watch i love', 'it so much easy to use .', 'i love it .""","`` great apple watch i love ' , 'it so much easy to use . ' , ' i love it . ''",0,0,0,1,0,0,0,0,0
50,7042,7043,review,a different flair. gives apple watch cool and refreshing look.,4,"""a different flair .', 'gives apple watch cool and refreshing look .""","`` a different flair . ' , 'gives apple watch cool and refreshing look . ''",0,0,0,0,1,0,0,0,0
