,Unnamed: 0,ReviewID,Page Type,Full Text,Rating,SegmentedReview,SegmentedReview_processed_reviews,Hedonic Motivation,Connectivity Support,Customizability,Perceived Ease of Use,Appeal,Perceived Value,Perceived Usefulness,Device Quality,Credibility Support
0,10608,10609,review,first time apple watch purchase. no complaints.,5,"""first time apple watch purchase .', 'no complaint .""","`` first time apple watch purchase . ' , 'no complaint . ''",0,0,0,0,0,0,0,0,0
1,11193,11194,review,i love the new features this apple watch has. easy to use,5,"""i love the new this apple watch ha .', 'easy to use""","`` i love the new this apple watch ha . ' , 'easy to use ''",0,0,0,1,0,0,0,0,0
2,11475,11476,review,easy to put on and protects the apple watch great.,5,"""easy to put on and protects the apple watch great .""",`` easy to put on and protects the apple watch great . '',0,0,0,1,0,0,0,0,0
3,12084,12085,review,great apple watch with wonderful features. easy to setup,5,"""great apple watch with wonderful .', 'easy to setup""","`` great apple watch with wonderful . ' , 'easy to setup ''",0,0,0,1,0,0,0,0,0
4,13081,13082,review,love my apple watch series 6 44mm best watch so far,5,"""love my apple watch series 6 44mm best watch so far""",`` love my apple watch series 6 44mm best watch so far '',0,0,0,0,0,0,0,0,0
5,13532,13533,review,fits perfectly and blends with my blue apple watch 6,5,"""fits perfectly and blend with my blue apple watch 6""",`` fit perfectly and blend with my blue apple watch 6 '',0,0,0,0,0,0,0,0,0
6,13561,13562,review,apple watch 5 was a great gift 10/10 would buy again,5,"""apple watch 5 wa a great gift 10/10 would buy again""",`` apple watch 5 wa a great gift 10/10 would buy again '',0,0,0,0,0,0,0,0,0
7,32709,32710,review,great way to protect your apple watch. i need to order more,5,"""great way to protect your apple watch .', 'i need', 'to order more""","`` great way to protect your apple watch . ' , ' i need ' , 'to order more ''",0,0,0,0,0,0,0,0,0
8,32711,32712,review,love my apple watch. does everything i expect it to and more!,5,"""love my apple watch .', 'does everything i expect it to and more !""","`` love my apple watch . ' , 'does everything i expect it to and more ! ''",0,0,0,0,0,0,0,0,0
9,32723,32724,review,the good for \na good gift for a man is a very good apple watch 6,5,"""the good for \\na good gift for a man is a very good apple watch 6""",`` the good for \\na good gift for a man is a very good apple watch 6 '',0,0,0,0,0,0,0,0,0
11,32968,32969,review,"i love my apple watch, it's very confortable and easy to use.",5,"""i love my apple watch ,', 'it's very confortable and easy to use .""","`` i love my apple watch , ' , 'it 's very confortable and easy to use . ''",0,0,0,1,0,0,0,0,0
12,33264,33265,review,best apple watch yet it's super sleek and fun! \ngreat choice,5,"""best apple watch yet it's super sleek and fun !', '\\ngreat choice""","`` best apple watch yet it 's super sleek and fun ! ' , '\\ngreat choice ''",1,0,0,0,0,0,0,0,0
13,33265,33266,review,"best apple watch yet. battery life is amazing, built tough",5,"""best apple watch yet .', 'battery life is amazing ,', 'built tough""","`` best apple watch yet . ' , 'battery life is amazing , ' , 'built tough ''",0,0,0,0,0,0,0,1,0
14,33593,33594,review,this was adaptable to use with my apple watch. very satisfied.,5,"""this wa adaptable to use with my apple watch .', 'very satisfied .""","`` this wa adaptable to use with my apple watch . ' , 'very satisfied . ''",1,0,0,0,0,0,0,0,0
16,33690,33691,review,best watch ever! by far the best apple watch i've ever owned.,5,"""best watch ever !', 'by far the best apple watch i've ever owned .""","`` best watch ever ! ' , 'by far the best apple watch i 've ever owned . ''",0,0,0,0,0,0,0,0,0
18,33860,33861,review,my apple watch is the best i love the features and the hands free calling,5,"""my apple watch is the best i love the and the hand free', 'calling""","`` my apple watch is the best i love the and the hand free ' , 'calling ''",0,0,0,0,0,0,0,0,0
19,34044,34045,review,"great android watch, something alternative over the apple watch.",5,"""great android watch , something alternative over the apple watch .""","`` great android watch , something alternative over the apple watch . ''",0,0,0,0,0,0,0,0,0
20,34077,34078,review,replaced my fitbit with the apple watch and have been very happy.,5,"""replaced my fitbit with the apple watch and have been very happy .""",`` replaced my fitbit with the apple watch and have been very happy . '',1,0,0,0,0,0,0,0,0
21,34352,34353,review,"switched from fitbit to apple watch, makes things so much easier",5,"""switched from fitbit to apple watch ,', 'make thing so much easier""","`` switched from fitbit to apple watch , ' , 'make thing so much easier ''",0,0,0,0,0,0,0,0,0
22,34421,34422,review,love the new apple watch & all the things i can keep track of,5,"""love the new apple watch & all the thing', 'i can keep track', 'of""","`` love the new apple watch & all the thing ' , ' i can keep track ' , 'of ''",0,0,0,0,0,0,0,0,0
23,34663,34664,review,love my apple watch great way to keep track of my fitness goals,5,"""love my apple watch great way', 'to keep track of my fitness goals""","`` love my apple watch great way ' , 'to keep track of my fitness goal ''",0,0,0,0,0,0,1,0,0
24,34798,34799,review,had an apple watch and replaces it and it's better by 1000%,5,"""had an apple watch', 'and replaces it', 'and it's better by 1000 %""","`` had an apple watch ' , 'and replaces it ' , 'and it 's better by 1000 % ''",0,0,0,0,0,0,0,0,0
25,34842,34843,review,love it it fits great. it also fits the new apple watch series 7,5,"""love it it fit great .', 'it also fit the new apple watch series 7""","`` love it it fit great . ' , 'it also fit the new apple watch series 7 ''",0,0,0,0,0,0,0,0,0
