,ReviewID,Page Type,Full Text,Rating,SegmentedReview
10608,10609,review,First time apple watch purchase. No complaints.,5,"""First time apple watch purchase .', 'No complaint ."""
11193,11194,review,I love the new features this Apple Watch has. Easy to use,5,"""I love the new this Apple Watch ha .', 'Easy to use"""
11475,11476,review,Easy to put on and protects the Apple Watch great.,5,"""Easy to put on and protects the Apple Watch great ."""
12084,12085,review,Great Apple Watch with wonderful features. Easy to setup,5,"""Great Apple Watch with wonderful .', 'Easy to setup"""
13081,13082,review,Love my Apple Watch series 6 44mm best watch so far,5,"""Love my Apple Watch series 6 44mm best watch so far"""
13532,13533,review,Fits perfectly and blends with my blue Apple Watch 6,5,"""Fits perfectly and blend with my blue Apple Watch 6"""
13561,13562,review,Apple Watch 5 was a great gift 10/10 would buy again,5,"""Apple Watch 5 wa a great gift 10/10 would buy again"""
32709,32710,review,Great Way to protect your Apple Watch. I need to order more,5,"""Great Way to protect your Apple Watch .', 'I need', 'to order more"""
32711,32712,review,Love my Apple Watch. Does everything I expect it to and more!,5,"""Love my Apple Watch .', 'Does everything I expect it to and more !"""
32723,32724,review,The good for \nA good gift for a man is a very good Apple Watch 6,5,"""The good for \\nA good gift for a man is a very good Apple Watch 6"""
32756,32757,review,Perfect charger for apple watch. it is perfect for apple watch,5,"""Perfect charger for apple watch .', 'it is perfect for apple watch"""
32968,32969,review,"I love my Apple Watch, it's very confortable and easy to use.",5,"""I love my Apple Watch ,', 'it's very confortable and easy to use ."""
33264,33265,review,Best Apple Watch yet it's super sleek and fun! \nGreat choice,5,"""Best Apple Watch yet it's super sleek and fun !', '\\nGreat choice"""
33265,33266,review,"Best apple watch yet. Battery life is amazing, built tough",5,"""Best apple watch yet .', 'Battery life is amazing ,', 'built tough"""
33593,33594,review,This was adaptable to use with my Apple Watch. Very satisfied.,5,"""This wa adaptable to use with my Apple Watch .', 'Very satisfied ."""
33644,33645,review,The Apple watch band was exactly as described. Loved the color.,5,"""The Apple watch band wa exactly a described .', 'Loved the color ."""
33690,33691,review,Best Watch Ever! By far the best Apple Watch I've ever owned.,5,"""Best Watch Ever !', 'By far the best Apple Watch I've ever owned ."""
33739,33740,review,Great Apple watch band. Fits well and is comfortable to wear.,5,"""Great Apple watch band .', 'Fits well and is comfortable to wear ."""
33860,33861,review,My apple watch is the best i love the features and the hands free calling,5,"""My apple watch is the best i love the and the hand free', 'calling"""
34044,34045,review,"Great android watch, something alternative over the Apple Watch.",5,"""Great android watch , something alternative over the Apple Watch ."""
34077,34078,review,Replaced my Fitbit with the Apple Watch and have been very happy.,5,"""Replaced my Fitbit with the Apple Watch and have been very happy ."""
34352,34353,review,"Switched from Fitbit to Apple Watch, makes things so much easier",5,"""Switched from Fitbit to Apple Watch ,', 'make thing so much easier"""
34421,34422,review,Love the new Apple Watch & all the things I can keep track of,5,"""Love the new Apple Watch & all the thing', 'I can keep track', 'of"""
34663,34664,review,Love my Apple Watch Great way to keep track of my fitness Goals,5,"""Love my Apple Watch Great way', 'to keep track of my fitness Goals"""
34798,34799,review,Had an Apple Watch and replaces it and it's better by 1000%,5,"""Had an Apple Watch', 'and replaces it', 'and it's better by 1000 %"""
34842,34843,review,love it it fits great. it also fits the new apple watch series 7,5,"""love it it fit great .', 'it also fit the new apple watch series 7"""
34893,34894,review,It's perfect! I wear it alongside my Apple Watch and it rocks!,5,"""It's perfect !', 'I wear it alongside my Apple Watch and it rock !"""
34900,34901,review,i loved this apple watch! i never ran into any issues with it.,5,"""i loved this apple watch !', 'i never ran into any issue with it ."""
34940,34941,review,Works well with the Apple Watch and keep it protected from bumps,5,"""Works well with the Apple Watch', 'and keep it protected from bump"""
35009,35010,review,Best Apple Watch band by far. Light weight and fits perfectly.,5,"""Best Apple Watch band by far .', 'Light weight and fit perfectly ."""
35135,35136,review,Only case I use for my Apple Watch! Very reliable and sturdy!,5,"""Only case I use for my Apple Watch !', 'Very reliable and sturdy !"""
35197,35198,review,Good upgrade from my previous Apple Watch. \nTotally worth it,5,"""Good upgrade from my previous Apple Watch .', '\\nTotally worth it"""
35257,35258,review,I appreciate the information and accuracy of the Fitbit Charge 4.,5,"""I appreciate the information and accuracy of the Fitbit Charge 4 ."""
35327,35328,review,Great charger. Definitely helped charge my apple watch quickly,5,"""Great charger .', 'Definitely helped charge my apple watch quickly"""
35342,35343,review,I love my Apple Watch series 7 it is awesome love the heartrate feature,5,"""I love my Apple Watch series 7', 'it is awesome love the heartrate"""
35387,35388,review,"Apple watch was just what i wanted, the features and all are all amazing",5,"""Apple watch wa just what i wanted ,', 'the and all are all amazing"""
35426,35427,review,We always trust Best Buy! \nAnd we love this Apple Watch SE!,5,"""We always trust Best Buy !', '\\nAnd we love this Apple Watch SE !"""
150,151,review,Works sometimes not everyday :( guess I'll buy a Apple Watch,1,"""Works sometimes not everyday :', '( guess', 'I'll buy a Apple Watch"""
873,874,review,Difficult to install and was slightly large for the Fitbit Versa 3.,1,"""Difficult to install and wa slightly large for the Fitbit Versa 3 ."""
1053,1054,review,I've bought a lot of apple watch bands but this one is too big.,1,"""I 've bought a lot of apple watch band"", 'but this one is too big ."""
1439,1440,review,These bands won't fit a Fitbit Versa 2 watch. They're to big.,1,"""These band wo n't fit a Fitbit Versa 2 watch ."", ""They 're to big ."""
2995,2996,review,Does not work for Apple Watch connectors every screwdriver is to big,2,"""Does not work for Apple Watch connector every screwdriver is to big"""
3565,3566,review,"This Apple Watch Doesn't keep correct exercise time, nor calories.",3,"""This Apple Watch Doesn't keep correct exercise time , nor calorie ."""
3566,3567,review,"This Apple Watch Doesn\u2019t keep correct exercise time, nor calories.",3,"""This Apple Watch Doesn't keep correct exercise time , nor calorie ."""
3627,3628,review,Fully protected my apple watch! get it! I would recommend.,3,"""Fully protected my apple watch !', 'get it !', 'I would recommend ."""
3843,3844,review,Great Apple Watch I love it so much easy to use. I love it.,3,"""Great Apple Watch I love', 'it so much easy to use .', 'I love it ."""
4652,4653,review,"VERY POOR QUALITY AND LIMITED INSTRUCTIONS, WILL NOT SINK WITH APPLE WATCH",3,"""VERY POOR AND LIMITED INSTRUCTIONS , WILL NOT SINK WITH APPLE WATCH"""
5047,5048,review,Fitbit doesn't work like last one. Guess time for Apple Watch.,3,"""Fitbit doesn't work like last one .', 'Guess time for Apple Watch ."""
5309,5310,review,I took this item back because it did not\nFit my Fitbit Versa 3,4,"""I took this item back', 'because it did not\\nFit my Fitbit Versa 3"""
5857,5858,review,I gave it as a gift and that person traded it for a apple watch.,4,"""I gave it a a gift', 'and that person traded it for a apple watch ."""
7042,7043,review,A different flair. Gives Apple watch cool and refreshing look.,4,"""A different flair .', 'Gives Apple watch cool and refreshing look ."""
7050,7051,review,If you buy a Apple Watch you need this with it. It\u2019s a must buy,4,"""If you buy a Apple Watch you need this with it .', 'It's a must buy"""
7659,7660,review,"I enjoy the features of Apple watch, especially workout and activity apps.",4,"""I enjoy the of Apple watch , especially workout and activity apps ."""
7725,7726,review,"I have enjoyed my new Apple Watch, would definitely recommend!",4,"""I have enjoyed my new Apple Watch ,', 'would definitely recommend !"""
7895,7896,review,Really Make your Apple watch stand out make the watch look great,4,"""Really Make your Apple watch stand out', 'make the watch look great"""
7902,7903,review,Amazing quality\n Way better than Apple watch. No comparison.,4,"""Amazing quality\\n Way better than Apple watch .', 'No comparison ."""
7907,7908,review,Best battery life. Way better than apple watch. Good design,4,"""Best battery life .', 'Way better than apple watch .', 'Good design"""
8302,8303,review,The staff was very helpful to me on buying my apple watch live it,4,"""The staff wa very helpful to me on buying my apple watch live', 'it"""
8799,8800,review,This is good for my apple watch Love how it is around my wrist.,4,"""This is good for my apple watch Love', 'how it is around my wrist ."""
9541,9542,review,Purchased this after my Fitbit charge 2 quit on me. I love it!,5,"""Purchased this after my Fitbit charge 2 quit on me .', 'I love it !"""
9554,9555,review,I had a Fitbit versa and upgraded for Mothers Day. Just love it,5,"""I had a Fitbit versa and upgraded for Mothers Day .', 'Just love it"""
9641,9642,review,Exactly what I was looking for without having a stupid Apple Watch.,5,"""Exactly what I wa looking for without having a stupid Apple Watch ."""
9712,9713,review,It's actually an Apple Watch and chargers fast because it's new.,5,"""It's actually an Apple Watch and charger fast', 'because it's new ."""
9995,9996,review,It is good as the 6. I love it for it being my first apple watch,5,"""It is good a the 6 .', 'I love it for it being my first apple watch"""
9996,9997,review,I love my Apple Watch. Easy to connect to my phone n works great,5,"""I love my Apple Watch .', 'Easy to connect to my phone n work great"""
10022,10023,review,Makes working out fun. Can challenge other Apple Watch friends.,5,"""Makes working out fun .', 'Can challenge other Apple Watch friend ."""
10046,10047,review,Love my Apple Watch! Fast and easy online pickup and works great,5,"""Love my Apple Watch !', 'Fast and easy online pickup and work great"""
10549,10550,review,My cousin loved his food Apple Watch. It worked really nicely.,5,"""My cousin loved his food Apple Watch .', 'It worked really nicely ."""
10595,10596,review,Liked the wristband for my Apple Watch. Best and cheap option.,5,"""Liked the wristband for my Apple Watch .', 'Best and cheap option ."""
10684,10685,review,Nice band goes with all colors or Apple Watch. Nice fit and feel.,5,"""Nice band go with all color or Apple Watch .', 'Nice fit and feel ."""
10699,10700,review,I love my new Apple Watch. User friendly well worth the money.,5,"""I love my new Apple Watch .', 'User friendly well worth the money ."""
11296,11297,review,The best case you can get for the Apple Watch. Very reliable,5,"""The best case', 'you can get for the Apple Watch .', 'Very reliable"""
11459,11460,review,Very handy and does a good job. A must have for your Apple watch,5,"""Very handy and doe a good job .', 'A must have for your Apple watch"""
11556,11557,review,Love my new Apple Watch and all of the different applications as well,5,"""Love my new Apple Watch and all of the different application a well"""
11700,11701,review,I love my Apple Watch .. easy to connect .. only work foe 2 weeks,5,"""I love my Apple Watch .. easy to connect ..', 'only work foe 2 week"""
11732,11733,review,best apple watch so far it has been my favorite apple watch so far!,5,"""best apple watch so far it ha been my favorite apple watch so far !"""
11751,11752,review,Love my Apple Watch especially when it it gets mynoxygen levełsanbe,5,"""Love my Apple Watch especially when it it get mynoxygen levełsanbe"""
11795,11796,review,beat apple watch & has apple care! i'm so happy with my purchase,5,"""beat apple watch & ha apple care !', 'i'm so happy with my purchase"""
11817,11818,review,I bought the band for the 44mm Apple watch 5 and it works great!,5,"""I bought the band for the 44mm Apple watch 5', 'and it work great !"""
12270,12271,review,Authentic Apple Watch charger- same one that comes with the watch,5,"""Authentic Apple Watch charger- same one', 'that come with the watch"""
12358,12359,review,Love the Apple watch! Especially the apple 6! Good choice!,5,"""Love the Apple watch !', 'Especially the apple 6 !', 'Good choice !"""
12897,12898,review,Nice upgrade for a men's Apple Watch! Casual but classy look,5,"""Nice upgrade for a men's Apple Watch !', 'Casual', 'but classy look"""
12927,12928,review,Nice upgrade for a men\u2019s Apple Watch! Casual but classy look,5,"""Nice upgrade for a men's Apple Watch !', 'Casual', 'but classy look"""
13085,13086,review,It's an Apple Watch. It's the best wearable. It's good.,5,"""It 's an Apple Watch ."", ""It 's the best wearable ."", ""It 's good ."""
14047,14048,review,Apple Watch you should get one period this is must have so happy,5,"""Apple Watch you should get one period this', 'is must have so happy"""
14065,14066,review,this beautiful smart apple watch has many options and easy to install,5,"""this beautiful smart apple watch ha many option and easy to install"""
14559,14560,review,"Comfortable to wear, matches well with my Blue Apple Watch 44mm.",5,"""Comfortable to wear ,', 'match well with my Blue Apple Watch 44mm ."""
14660,14661,review,I love it more than Apple Watch I had. Love everything about it,5,"""I love it more than Apple Watch I had .', 'Love everything about it"""
14797,14798,review,Keeps my Apple Watch safe . I love this item. Great purchase,5,"""Keeps my Apple Watch safe .', 'I love this item .', 'Great purchase"""
14857,14858,review,Quality leather strap with silicone lining... perfect fit with Apple Watch,5,"""leather strap with silicone lining ... perfect fit with Apple Watch"""
14889,14890,review,I love this watch! A lot better than the aluminum Apple Watch.,5,"""I love this watch !', 'A lot better than the aluminum Apple Watch ."""
14915,14916,review,"This was a birthday gift for my sister, she loves her Apple watch",5,"""This wa a birthday gift for my sister ,', 'she love her Apple watch"""
15042,15043,review,"Durable, easy to attach to Fitbit Charge 2. Very fast shipping",5,"""Durable , easy to attach to Fitbit Charge 2 .', 'Very fast shipping"""
15241,15242,review,Love this magnetic band for Apple Watch! Works and looks great!,5,"""Love this magnetic band for Apple Watch !', 'Works and look great !"""
15483,15484,review,looking for a apple watch? this is a great place to start,5,"""looking for a apple watch ?', 'this is a great place', 'to', 'start"""
15544,15545,review,Apple standard charger. great to have on hand for apple watch.,5,"""Apple standard charger .', 'great to have on hand for apple watch ."""
15636,15637,review,The red color makes my silver apple watch look so good on my wrist.,5,"""The red color make my silver apple watch look so good on my wrist ."""
15870,15871,review,"I seriously love this cases, they are great for my Apple Watch 5",5,"""I seriously love this case ,', 'they are great for my Apple Watch 5"""
15903,15904,review,"What can we say, it's Apple Watch for daughter. She loves it",5,"""What can we say ,', 'it's Apple Watch for daughter .', 'She love it"""
15966,15967,review,I brought an Apple Watch for my wife and I had to one for myself,5,"""I brought an Apple Watch for my wife', 'and I had to one for myself"""
15973,15974,review,"What can we say, it\u2019s Apple Watch for daughter. She loves it",5,"""What can we say ,', 'it's Apple Watch for daughter .', 'She love it"""
16760,16761,review,I love my Apple Watch! It\u2019s great and has all the right features for me.,5,"""I love my Apple Watch !', 'It's great and ha all the right for me ."""
16766,16767,review,I love my Apple Watch! It's great and has all the right features for me.,5,"""I love my Apple Watch !', 'It's great and ha all the right for me ."""
17541,17542,review,These are very comfortable for everyday wear with my Fitbit versa.,5,"""These are very comfortable for everyday wear with my Fitbit versa ."""
17564,17565,review,Greatest Apple Watch ever. Best watch ever I would buy it again,5,"""Greatest Apple Watch ever .', 'Best watch ever I would buy it again"""
18129,18130,review,Just as advertised! Is awesome and protects Apple my Apple watch,5,"""Just a advertised !', 'Is awesome and protects Apple my Apple watch"""
18226,18227,review,Had samsung gear 2 this is much better more apps would recommend,5,"""Had samsung gear 2 this is much better', 'more apps would recommend"""
18296,18297,review,Daughter loves the bumper as it greatly protects her Apple watch.,5,"""Daughter love', 'the bumper a it greatly protects her Apple watch ."""
18344,18345,review,I love my Fitbit. It keeps being mistaken for an Apple Watch lol,5,"""I love my Fitbit .', 'It keep being mistaken for an Apple Watch lol"""
18809,18810,review,More than what I had expected my first Apple Watch and I love it,5,"""More than what I had expected my first Apple Watch', 'and I love it"""
18894,18895,review,My wife enjoys her Apple Watch. She is not big on the big watches,5,"""My wife enjoys her Apple Watch .', 'She is not big on the big watch"""
18911,18912,review,I bought this Apple Watch series 5 for my wife and she loves it.,5,"""I bought this Apple Watch series 5 for my wife', 'and she love it ."""
18992,18993,review,"This Apple watch is best one yet, I would recommend to anyone.",5,"""This Apple watch is best one yet ,', 'I would recommend to anyone ."""
19027,19028,review,I love i it's my first Apple Watch I love it so easy to use.,5,"""I love i it's my first Apple Watch', 'I love', 'it so easy to use ."""
19034,19035,review,I love i it\u2019s my first Apple Watch I love it so easy to use.,5,"""I love i it's my first Apple Watch', 'I love', 'it so easy to use ."""
19106,19107,review,Makes my Fitbit Charge 3 look so elegant. Super-strong magnet!,5,"""Makes my Fitbit Charge 3 look so elegant .', 'Super-strong magnet !"""
19131,19132,review,Apple Watch I is just one of the smartest watch ever easy to use,5,"""Apple Watch I is just one of the smartest watch ever easy', 'to use"""
19170,19171,review,This is a must have for your new Apple Watch and at a great price!,5,"""This is a must have for your new Apple Watch and at a great price !"""
19421,19422,review,I love the fact that I can answer and talk from my Apple Watch.,5,"""I love the fact', 'that I can answer and talk from my Apple Watch ."""
19542,19543,review,Great watch best alternative if you can't afford the Apple Watch,5,"""Great watch best alternative', 'if you can't afford the Apple Watch"""
19552,19553,review,Great watch best alternative if you can\u2019t afford the Apple Watch,5,"""Great watch best alternative', 'if you can't afford the Apple Watch"""
19648,19649,review,Great watch! I love the new series 5 Apple Watch. Amazing features.,5,"""Great watch !', 'I love the new series 5 Apple Watch .', 'Amazing ."""
19844,19845,review,The best Apple Watch yet! A lot better than the other versions.,5,"""The best Apple Watch yet !', 'A lot better than the other version ."""
19879,19880,review,Got rid of my Apple Watch and got the Fitbit.....great move.,5,"""Got rid of my Apple Watch', 'and got the Fitbit ... .. great move ."""
20224,20225,review,"Love, love, love my apple watch. Get a case, very fragile",5,"""Love , love , love my apple watch .', 'Get a case ,', 'very fragile"""
20637,20638,review,I loved my apple watch. Great service by the way. Awesome.,5,"""I loved my apple watch .', 'Great service by the way .', 'Awesome ."""
20908,20909,review,Looks nice and works well with the apple watch as far as compatibility,5,"""Looks nice and work well with the apple watch a far a compatibility"""
21020,21021,review,Awesome Apple Watch. Sleek design and works awesome. Love it,5,"""Awesome Apple Watch .', 'Sleek design and work awesome .', 'Love it"""
