,Unnamed: 0,Unnamed: 0.1,ReviewID,Page Type,Full Text,Rating,Segments,Hedonic Motivation,Connectivity Support,Customizability,Perceived Ease of Use,Appeal,Perceived Value,Perceived Usefulness,Device Quality,Credibility Support
0,0,18168,18169,review,great quality authentic apple watch band.\n\nthe nike+ styling on this model is great and fits well.,5,[ 'great quality authentic apple watch band.\\n\\nthe nike+ styling on this model is great and fit well . ' ],0,0,0,0,0,0,0,1,0
1,1,18377,18378,review,love the apple watch...not as user-friendly as the fitbit in my opinion but has convenient features.,5,"[ 'love the apple watch ... not a user-friendly a the fitbit in my opinion ' , 'but ha convenient feature . ' ]",0,0,0,0,0,0,0,0,0
2,2,18542,18543,review,up graded my wife apple watch from a 2 to a 5! she loves her new watch and the battery last all day!,5,"[ 'up graded my wife apple watch from a 2 to a 5 ! ' , 'she love her new watch and the battery last all day ! ' ]",0,0,0,0,0,0,0,1,0
3,3,18610,18611,review,i bought this watch about a year ago and really love it. do yourself a favor and get an apple watch.,5,"[ ' i bought this watch about a year ago ' , 'and really love it . ' , 'do yourself a favor ' , 'and get an apple watch . ' ]",0,0,0,0,0,0,0,0,0
4,4,18859,18860,review,i can say i'm very satisfied with my fitbit charge. i got it for mother's day. it does what it says.,5,"[ ' i can say ' , `` i 'm very satisfied with my  . `` , `` i got it for mother 's day . `` , 'it doe what it say . ' ]",1,0,0,0,0,0,0,0,0
5,5,18919,18920,review,i wished i had gotten the apple watch sooner. it has been awesome so far and learning more each day.,5,"[ ' i wished ' , ' i had gotten the apple watch sooner . ' , 'it ha been awesome so far and learning more each day . ' ]",0,0,0,0,0,0,0,0,0
8,8,18995,18996,review,apple watch is amazing. great size and feels good on wrist. easy and quick viewing of notifications.,5,"[ 'apple watch is amazing . great size ' , 'and feel good on wrist . easy and quick viewing of notification . ' ]",1,0,0,1,1,0,0,0,0
11,11,19216,19217,review,i thoroughly enjoy my new apple watch. it was an easy process to order online and have it delivered.,5,"[ ' i thoroughly enjoy my new apple watch . ' , 'it wa an easy process ' , 'to order online ' , 'and have it delivered . ' ]",1,0,0,1,0,0,0,0,0
12,12,19249,19250,review,"being a senior citizen, i've got a lot to learn about my new apple watch, but so far i am loving it!",5,"[ 'being a senior citizen , ' , `` i 've got a lot '' , 'to learn about my new apple watch , ' , 'but so far i am loving it ! ' ]",0,0,0,0,0,0,0,0,0
13,13,19781,19782,review,apple watch helped a lot especially when you're kids are around. the features are amazing and great.,5,"[ 'apple watch helped a lot especially ' , `` when you 're kid are around . `` , 'the feature are amazing and great . ' ]",0,0,0,0,0,0,0,0,0
14,14,19858,19859,review,my wife loves her new apple watch. she a mail carrier so it help with not carrying her phone around.,5,"[ 'my wife love her new apple watch . ' , 'she a mail carrier ' , 'so it help with not carrying her phone around . ' ]",0,0,0,0,0,0,0,0,0
15,15,19950,19951,review,great starter for a new apple watch user. it has nearly all functions that apple watch 5 series has.,5,"[ 'great starter for a new apple watch user . it ha nearly all function ' , 'that apple watch 5 series ha . ' ]",0,0,0,0,0,0,0,0,0
16,16,21057,21058,review,"love this, my wife has an apple watch and i think this is a great comparable product. i prefer this!",5,"[ 'love this , my wife ha an apple watch ' , 'and i think ' , 'this is a great comparable product . ' , ' i prefer this ! ' ]",0,0,0,0,0,0,0,0,0
17,17,21078,21079,review,can't charge your apple watch without one. as the battery life isn't great. got this one for the car,5,"[ `` ca n't charge your apple watch '' , 'without one . ' , `` a the battery life is n't great . got this one for the car '' ]",0,0,0,0,0,0,0,0,0
18,18,21183,21184,review,"my kids were skeptical about having apple watch, but after receiving them as a gift, they love them!",5,"[ 'my kid were skeptical about having apple watch , ' , 'but ' , 'after receiving them a a gift , ' , 'they love them ! ' ]",0,0,0,0,0,0,0,0,0
19,19,21434,21435,review,had been looking for a apple watch charger. best buy had great price and had item in stock at store.,5,"[ 'had been looking for a apple watch charger . ' , 'best buy had great price ' , 'and had item in stock at store . ' ]",0,0,0,0,0,1,0,0,0
20,20,21673,21674,review,"first apple watch for me, very impressed! tracks a lot things and charges fast. very easy to set up.",5,"[ 'first apple watch for me , very impressed ! track a lot thing and charge fast . ' , 'very easy to set up . ' ]",0,0,0,1,0,0,0,1,0
25,25,22011,22012,review,bought for the girlfriend and it's her first apple watch. she loves it. never wore watches before.,5,"[ 'bought for the girlfriend and it ' s her first apple watch . ' , 'she love it . ' , 'never wore watch before . ' ]",0,0,0,0,0,0,0,0,0
26,26,22176,22177,review,"i never thought i'd want an apple watch until i got one, and now i don't want to be without it!!",5,"[ ' i never thought ' , ' i ' d want an apple watch ' , 'until i got one , ' , 'and now i don ' t want to be ' , 'without it ! ! ' ]",0,0,0,0,0,0,0,0,0
27,27,22447,22448,review,"i love my apple watch, i like how the screen is bigger than others, and the controls are easy to use",5,"[ ' i love my apple watch , ' , ' i like how the screen is bigger than others , ' , 'and the control are easy to use ' ]",0,0,0,1,0,0,0,0,0
29,29,22739,22740,review,"i never thought i would need an apple watch, but i must say, now i can't live without it. i love it!",5,"[ ' i never thought ' , ' i would need an apple watch , ' , 'but i must say , ' , `` now i ca n't live '' , 'without it . ' , ' i love it ! ' ]",0,0,0,0,0,0,0,0,0
30,30,22972,22973,review,"amazing smart watch for the price, for $200 you wont get a better deal than the apple watch series 3",5,"[ 'amazing smart watch for the price , for $ 200 you wont get a better deal than the  ' ]",0,0,0,0,0,1,0,0,0
31,31,23064,23065,review,good product for the price. great if you want to try an apple watch without spending a lot of money.,5,"[ 'good product for the price . great ' , 'if you want to try an apple watch ' , 'without spending a lot of money . ' ]",0,0,0,0,0,1,0,0,0
32,32,23444,23445,review,learned so much from this book. it was very helpful. now i can start using my apple watch! thank you,5,"[ 'learned so much from this book . ' , 'it wa very helpful . ' , 'now i can start using my apple watch ! thank ' , 'you ' ]",0,0,0,0,0,0,1,0,0
33,33,23566,23567,review,"this is way better than the fitbit charge 4. it's smaller, but the functions are more user friendly.",5,"[ `` this is way better than the  . it 's smaller , '' , 'but the function are more user friendly . ' ]",0,0,0,0,0,0,0,0,0
34,34,24573,24574,review,great fitbit - charge 3 activity tracker + heart rate -. just what i was looking for. works great!!!,5,"[ 'great fitbit -  activity tracker + heart rate - . ' , 'just what i wa looking for . work great ! ! ! ' ]",0,0,0,0,0,0,0,0,0
35,35,24641,24642,review,i absolutely love this watch! i used to have a versa and im so glad i decided to get an apple watch!,5,"[ ' i absolutely love this watch ! ' , ' i ' , 'used to have a versa and im ' , 'so glad i decided to get an apple watch ! ' ]",0,0,0,0,0,0,0,0,0
36,36,25550,25551,review,very good watch i like the galaxy watch way better than apple watch. seems like it has more features,5,"[ 'very good watch i like the  way better than apple watch . seems ' , 'like it ha more feature ' ]",0,0,0,0,0,0,0,0,0
37,37,25643,25644,review,apple watch five very good quality very good got active ppl my daughter got it for bday and loved it,5,"[ 'apple watch five very good quality very good got active ppl my daughter got it for bday ' , 'and loved it ' ]",0,0,0,0,0,0,0,1,0
38,38,25690,25691,review,"this watch is very functional , my fdz can call me from this watch, better than an apple watch, nice",5,"[ 'this watch is very functional , ' , 'my fdz can call me from this watch , ' , 'better than an apple watch , ' , 'nice ' ]",0,0,0,0,0,0,0,0,0
39,39,26292,26293,review,"really so nice looks exactly like the apple watch , the mobile app is user friendly. worth the money",5,"[ 'really so nice look exactly like the apple watch , ' , 'the mobile app is user friendly . ' , 'worth the money ' ]",0,0,0,1,1,1,0,0,0
40,40,26923,26924,review,i've never had an issue with samsung watches. definitely prefer this over the fitbit or apple watch!,5,"[ `` i 've never had an issue with . `` , 'definitely prefer this over the fitbit or apple watch ! ' ]",0,0,0,0,0,0,0,0,0
41,41,26928,26929,review,we bought this for our son as a gift and he loves it. it is way better than my original apple watch.,5,"[ 'we bought this for our son a a gift ' , 'and he love it . ' , 'it is way better than my original apple watch . ' ]",0,0,0,0,0,0,0,0,0
42,42,27152,27153,review,i wanted to get a apple watch and it was a really great investment! the watch is really easy to use!,5,"[ ' i wanted to get a apple watch ' , 'and it wa a really great investment ! ' , 'the watch is really easy to use ! ' ]",0,0,0,1,0,0,0,0,0
43,43,27744,27745,review,"this is my 4th purchase of an apple watch, i truly love apple. can't go wrong with this smart watch!",5,"[ 'this is my 4th purchase of an apple watch , ' , ' i truly love apple . ' , `` ca n't go wrong with this smart watch ! '' ]",0,0,0,0,0,0,0,0,0
44,44,27767,27768,review,i was skeptical about the apple watch but it has worked great. does exactly what you expect. so easy,5,"[ ' i wa skeptical about the apple watch ' , 'but it ha worked great . ' , 'does exactly what you expect . ' , 'so easy ' ]",0,0,0,1,0,0,0,0,0
45,45,23286,23287,review,love all the features of this apple watch. terrific design and fit. love all the health features. would buy again.,5,"[ 'love all the feature of this apple watch . terrific design and fit . ' , 'love all the health feature . ' , 'would buy again . ' ]",0,0,0,0,1,0,0,0,0
46,46,23551,23552,review,"this is an update from my fitbit versa. i love the built in gps, a must have upgrade if you run or exercise a lot.",5,"[ 'this is an update from my  . ' , ' i love the built in gps , ' , ' a must have upgrade ' , 'if you run or exercise a lot . ' ]",0,0,0,0,0,0,0,0,0
47,47,24324,24325,review,i found it easy to use the apple watch and it has kept track of my steps better than any other watch or pedometer.,5,"[ ' i found ' , 'it easy to use the apple watch ' , 'and it ha kept track of my step better than any other watch or pedometer . ' ]",0,0,0,1,0,0,0,0,0
49,49,25251,25252,review,good price and seems sturdy. hope it lasts. lots of features. better than spending a lot on fitbit or apple watch.,5,[ 'good price and seems sturdy . hope it last . lot of feature . better than spending a lot on fitbit or apple watch . ' ],0,0,0,0,0,1,0,0,0
50,50,26035,26036,review,"this is a great cheaper alternative to the apple watch. it delivers a great value, and it has a long battery life.",5,"[ 'this is a great cheaper alternative to the apple watch . ' , 'it delivers a great value , ' , 'and it ha a long battery life . ' ]",0,0,0,0,0,1,0,0,0
51,51,26619,26620,review,"i really do like my fitbit charge 3. i like being able to know the distance, number of steps and how long it took.",5,"[ ' i really do like my  . ' , ' i like being able to know the distance , number of step ' , 'and how long it took . ' ]",0,0,0,0,0,0,0,0,0
