,ReviewID,Page Type,Full Text,Rating,Segments
18168,18169,review,Great quality authentic Apple Watch Band.\n\nThe Nike+ styling on this model is great and fits well.,5,['Great quality authentic Apple Watch Band.\\n\\nThe Nike+ styling on this model is great and fits well .']
18377,18378,review,Love the Apple Watch...not as user-friendly as the Fitbit in my opinion but has convenient features.,5,"['Love the Apple Watch ... not as user-friendly as the Fitbit in my opinion', 'but has convenient features .']"
18542,18543,review,Up graded my wife Apple Watch from a 2 to a 5! She loves her new watch and the battery last all day!,5,"['Up graded my wife Apple Watch from a 2 to a 5 !', 'She loves her new watch and the battery last all day !']"
18610,18611,review,I bought this watch about a year ago and really love it. Do yourself a favor and get an Apple Watch.,5,"['I bought this watch about a year ago', 'and really love it .', 'Do yourself a favor', 'and get an Apple Watch .']"
18859,18860,review,I can say I'm very satisfied with my Fitbit charge. I got it for mother's day. It does what it says.,5,"['I can say', ""I 'm very satisfied with my Fitbit charge ."", ""I got it for mother 's day ."", 'It does what it says .']"
18919,18920,review,I wished I had gotten the Apple Watch sooner. It has been awesome so far and learning more each day.,5,"['I wished', 'I had gotten the Apple Watch sooner .', 'It has been awesome so far and learning more each day .']"
18941,18942,review,Apple Watch is awesome and it's nice to be able to change the band and match whatever your wearing .,5,"['Apple Watch is awesome', ""and it 's nice to be able to change the band and match whatever your wearing .""]"
18958,18959,review,This is my favorite band for my Apple Watch 3. It fits well around the wrist and is stylish overall.,5,"['This is my favorite band for my Apple Watch 3 .', 'It fits well around the wrist', 'and is stylish overall .']"
18995,18996,review,Apple Watch is amazing. Great size and feels good on wrist. Easy and quick Viewing of notifications.,5,"['Apple Watch is amazing . Great size', 'and feels good on wrist . Easy and quick Viewing of notifications .']"
19079,19080,review,Cable is very well built and it's essential for traveling and is needed to charger your Apple Watch.,5,"['Cable is very well built', ""and it 's essential for traveling"", 'and is needed to charger your Apple Watch .']"
19183,19184,review,"Great looking band, very sturdy and durable. I would recommend this watch band for the Fitbit ionic.",5,"['Great looking band , very sturdy and durable .', 'I would recommend this watch band for the Fitbit ionic .']"
19216,19217,review,I thoroughly enjoy my new Apple Watch. It was an easy process to order online and have it delivered.,5,"['I thoroughly enjoy my new Apple Watch .', 'It was an easy process', 'to order online', 'and have it delivered .']"
19249,19250,review,"Being a senior citizen, I've got a lot to learn about my new Apple Watch, but so far I am loving it!",5,"['Being a senior citizen ,', ""I 've got a lot"", 'to learn about my new Apple Watch ,', 'but so far I am loving it !']"
19781,19782,review,Apple watch helped a lot especially when you're kids are around. The features are amazing and great.,5,"['Apple watch helped a lot especially', ""when you 're kids are around ."", 'The features are amazing and great .']"
19858,19859,review,My wife loves her new Apple Watch. She a mail carrier so it help with not carrying her phone around.,5,"['My wife loves her new Apple Watch .', 'She a mail carrier', 'so it help with not carrying her phone around .']"
19950,19951,review,Great starter for a new apple watch user. It has nearly all functions that Apple watch 5 series has.,5,"['Great starter for a new apple watch user . It has nearly all functions', 'that Apple watch 5 series has .']"
21057,21058,review,"Love this, my wife has an Apple Watch and I think this is a great comparable product. I prefer this!",5,"['Love this , my wife has an Apple Watch', 'and I think', 'this is a great comparable product .', 'I prefer this !']"
21078,21079,review,Can't charge your Apple Watch without one. As the battery life isn't great. Got this one for the car,5,"[""Ca n't charge your Apple Watch"", 'without one .', ""As the battery life is n't great . Got this one for the car""]"
