,Full Text,Ease of Use
0,"['nephew fact ', 'waterproof finding black deal']",
1,"['series amazing ', '', 'health ', 'attention']",
2,"['gem durability ', 'battery life day hunt']",
3,"['stopped charging ', 'bummed buy ', 'glad ', 'faster ', 'clear']",
4,"['super work great ', 'price highly recommend']",
5,"['excellent ', 'space gray ', 'great leaves access ', 'switch easily']",
6,['great that'],
7,"['', 'husb', 'airy wear ', 'working garden lot']",
8,"['love everyday learn ', '', 'lot money']",
9,"['item perfect imagine spending ', 'true love love love big game changer']",
10,"['bought ', 'relative series love ', 'enjoying ', 'learning bought']",
11,"['sport ', 'bought ', 'fell ', 'broke bought ', 'brand']",
12,"['forerunner heart rate monit', 'running black excellent convenient heath wellness']",
13,['great affordable attractive'],
14,"['love stylish ', '', 'cant heart rate ', 'burning']",
15,['price though previous generation'],
16,"['', 'large display menu color']",
17,"['salesman patient friendly ', 'knowledgeable ', 'love buy']",
18,"['love easy wear ', 'closure stays tightly closed bought ', 'series ', 'perfectly']",
19,"['capacity ', 'longer cord ', 'regular charger bit length love']",
20,"['love col', 'addition ', 'wear ', 'day ', '', 'recharge']",
21,"['series ', 'match perfectly ', 'face sharp']",
22,['comfortable ordered miscellaneous but'],
23,"['charge charge returned charge ', 'uncomfortable wear']",
24,"['', '', 'broke track sleep didnt ', 'work ', 'keeping track junk']",
25,"['wont charge phone pro charge series edition ', 'wont work phone disappointed']",
26,"['charger ', 'doesnt work fit rubber sleeve ', 'charge completely purpose purchase']",
27,"['love charge ', '', 'connection broke glued plastic piece ', 'tape']",
28,"['', 'hey android pretty fair purchase product work dont recommend honestly']",
29,"['received charger worth time return bought ', 'hope kind bummer']",
30,"['bumper protect ', 'difficulty']",
31,['nice fit series stay locked loose returned'],
32,"['bumper ', 'scratch ', 'work perfectly']",
33,['stuff but'],
34,"['market ', 'cant stretch great life mate']",
35,"['hard connect charge phone ', 'though list ', 'compatible days']",
36,"['faded bad ', '', 'luck']",
37,"['ended ', 'connect ', '', 'worked great']",
38,"['nice charge ', '', 'month start lift reseal ', 'eventually start lifting']",
39,"['idea ', 'convenient house worry phone room room']",
40,"['love smart display ', 'battery bit longer coming lite']",
41,"['love accurate shower personally dont ', '', '', 'highly recommend']",
42,"['browser support video fan ', 'air fan']",
43,"['good ', 'works issue']",
44,"['charge ', '', 'advanced charge place trick for']",
45,"['love cant imagine living ', 'everyday finding awesome wearable']",
46,"['', '', 'series ', 'lot responsive']",
47,"['works happy ', '', '', 'phone']",
48,['easy attach secure wrist comfortable easy attach easily'],
49,"['gen nice accurate ', 'good nicely built ', 'worth price']",
50,"['bad works perfectly fine ', '', 'save money setup love']",
51,"['bought gift ', 'birthday ', 'price range battery life wife']",
52,"['love ', '', 'pay oxygen level']",
53,"['love track ', 'walk face liking easy']",
54,"['quick easy order process ', 'sell price easy and']",
55,"['excellent gift love paired phone ', '', 'read news track exercise routine diet']",
56,"['', 'easy metal easier and']",
57,"['cool device size perfect size ', 'small']",
