,state,region,01,02,03,04,05,06,07,08,09,10
0,AK,West,0,0,133,212,96,473,2012,2127,2526,5794
1,AL,South,0,0,999,6200,10951,19626,48886,36709,27085,30693
2,AR,South,0,0,560,2641,3943,13334,21314,18051,22200,22858
3,AZ,West,1,0,1288,6235,11974,59092,89918,24813,16165,20910
4,CA,West,3,9,8119,40762,60141,109911,260931,203955,102828,90511
5,CO,West,0,0,2966,11840,10710,6138,13780,10157,12761,27515
6,CT,Northeast,0,0,3128,24143,13437,3774,3238,3069,4544,10895
7,DE,South,0,0,319,4366,4688,1825,3138,2658,3078,3312
8,FL,South,0,0,6490,26195,20036,94366,308742,142008,73935,75613
9,GA,South,0,0,4585,21347,19276,33635,102115,80459,45329,34038
10,HI,West,0,0,185,357,-12,235,1138,5768,4577,2021
11,IA,Midwest,0,0,497,6596,11668,9249,15124,19842,23382,27773
12,ID,West,0,0,525,1346,804,3211,14351,10974,9680,18362
13,IL,Midwest,2,0,5991,45938,64205,23004,35052,54968,57546,89769
14,IN,Midwest,0,0,2159,15270,15944,10764,20202,27074,25128,45388
15,KS,Midwest,0,0,428,3756,5270,4432,12822,14800,17137,18927
16,KY,South,0,0,591,4028,4825,5578,14309,17673,19655,29909
17,LA,South,0,0,5237,21620,11205,17643,56102,32614,17875,16715
18,MA,Northeast,0,0,6619,54467,32654,8077,8469,10162,10761,18900
19,MD,Northeast,0,0,1660,21487,29855,13743,20942,18589,16191,16203
20,ME,Northeast,0,0,303,779,1226,917,609,590,883,919
21,MI,Midwest,0,0,7615,32045,15041,13196,19485,21693,24194,43332
22,MN,Midwest,0,0,689,4394,19478,11508,17978,19917,22049,37336
23,MO,South,0,0,1327,5981,5312,8224,28396,33439,40358,44805
24,MS,South,0,0,1073,6035,8540,11879,31111,23703,15302,18059
25,MT,Midwest,0,0,203,225,62,495,2882,3412,5704,15522
26,NC,South,0,0,1498,8925,17667,35473,56482,45250,38339,50974
27,ND,Midwest,0,0,126,920,1470,951,2987,5340,9951,17213
28,NE,Midwest,0,0,177,4067,9263,4832,6901,7896,10990,19191
29,NH,Northeast,0,0,367,1731,2341,1097,781,662,969,2213
30,NJ,Northeast,0,0,18696,96397,39255,10749,9732,9931,12985,25442
31,NM,South,0,0,315,3048,4176,4347,8324,4556,3975,13508
32,NV,West,0,0,1113,3728,3383,9996,28984,20178,10201,16390
33,NY,Northeast,0,0,32656,100621,28843,10328,11262,10212,13640,23479
34,OH,Midwest,0,0,2199,15480,16770,15805,38294,31070,29377,47426
35,OK,South,0,0,565,2899,2532,6870,25252,23690,28662,30212
36,OR,West,0,1,689,1774,1664,4354,9562,7896,6563,8946
37,PA,Northeast,0,0,4843,39958,25311,14348,24862,21089,24172,38323
38,RI,Northeast,0,0,519,8055,5966,1822,2169,2927,2746,6531
39,SC,South,0,0,1083,4802,5603,24251,51097,28393,28096,24256
40,SD,Midwest,0,0,108,2320,2468,1730,1938,4642,8640,17594
41,TN,South,0,0,2239,8495,11268,19800,60644,46749,39810,54342
42,TX,South,0,0,3266,24090,35058,95106,252884,182484,131634,121866
43,UT,West,0,0,934,3741,5116,12645,17411,11412,19892,33178
44,VA,South,0,0,1484,15195,28497,16548,27598,29833,26179,27067
45,VT,Northeast,0,0,293,545,102,225,204,208,121,358
46,WA,West,1,6,4885,9008,7065,10847,22368,17094,12583,15911
47,WI,Midwest,0,0,1351,5304,11089,13119,24709,22510,47519,85306
48,WV,South,0,0,162,934,859,877,3663,3515,5341,6682
49,WY,Midwest,0,0,120,422,337,577,1212,1073,2082,5723
