,state,Region,population,Total_Threads,Total_COVID,sample_size,stderr,wearing,notWearing,populationThousands,Threads_Perc_Thousand_Pop,COVID_Per_Thousand_Pop
0,AK,West,3008566,133,13373,700.483871,1.284553171,80.89063356,19.10936644,3008.566,4.420710731,4.444974782
1,AL,South,718003,424,181149,2796.405497,0.702596903,83.52485066,16.47514934,718.003,59.05267805,252.2956032
2,AR,South,3008566,230,104901,2151.240771,0.733070029,84.81858652,15.18141348,3008.566,7.644838106,34.86744183
3,AZ,West,7152019,1510,230396,4352.54441,0.47465219,86.6940146,13.3059854,7152.019,21.1129193,32.21412024
4,CA,West,39400984,4000,877170,16169.76565,0.204463948,91.271128,8.728871998,39400.984,10.15203072,22.26264197
5,CO,West,5659521,837,95867,4401.391116,0.405582848,86.9205311,13.0794689,5659.521,14.78923746,16.93906604
6,CT,Northeast,3565756,349,66228,3162.193548,0.347920635,93.38373636,6.616263638,3565.756,9.787545755,18.57334041
7,DE,South,963754,41,23384,879.1358613,0.77465209,92.72382111,7.276178894,963.754,4.254197648,24.26345312
8,FL,South,21230824,3094,747385,12183.64541,0.312165871,85.51989545,14.48010455,21230.824,14.57315081,35.20282585
9,GA,South,10456145,814,340784,4825.455923,0.544822839,82.35425558,17.64574442,10456.145,7.784895867,32.5917439
10,HI,West,1375205,336,14269,694.516129,0.865688887,93.01248312,6.987516876,1375.205,24.43272094,10.37590759
11,IA,Midwest,3154344,202,114131,3495.640097,0.585387748,77.65070362,22.34929638,3154.344,6.403867175,36.18216656
12,ID,West,1750670,98,59253,1651.37351,0.995397048,73.17110363,26.82889637,1750.67,5.597856821,33.845899
13,IL,Midwest,12713360,1101,376475,9336.305616,0.273251158,88.31806839,11.68193161,12713.36,8.660181101,29.61254932
14,IN,Midwest,6689037,373,161929,5211.455055,0.43794141,84.12405802,15.87594198,6689.037,5.576288485,24.20811845
15,KS,Midwest,2888772,196,77572,2635.484561,0.663201532,81.84448485,18.15551515,2888.772,6.784889912,26.85293266
16,KY,South,4451683,444,96568,3274.10449,0.51053789,86.88988339,13.11011661,4451.683,9.973755993,21.69247002
17,LA,South,4644049,549,179011,2893.436461,0.727817765,81.82316737,18.17683263,4644.049,11.82158069,38.54632025
18,MA,Northeast,6897212,669,150109,3900.269161,0.319056361,93.83105444,6.168945556,6897.212,9.699571363,21.76372134
19,MD,Northeast,6008434,273,138670,3209.120329,0.361531006,93.50514353,6.494856468,6008.434,4.543613194,23.07922497
20,ME,Northeast,1337036,89,6226,1525.405284,0.748525181,87.39732169,12.60267831,1337.036,6.656514858,4.656568709
21,MI,Midwest,9992207,941,176601,9140.371939,0.275383687,87.1776639,12.8223361,9992.207,9.417338932,17.67387325
22,MN,Midwest,5609041,576,133349,4045.278719,0.416926129,88.06440948,11.93559052,5609.041,10.26913513,23.77393925
23,MO,South,6107645,602,167842,4158.551868,0.564776874,79.93914309,20.06085691,6107.645,9.856499518,27.48064107
24,MS,South,2973020,226,115702,1865.293068,0.873731277,82.37382108,17.62617892,2973.02,7.601697937,38.91732985
25,MT,Midwest,1058744,153,28505,1184.692384,1.027810203,79.30060285,20.69939715,1058.744,14.45108544,26.92341114
26,NC,South,10286137,531,254608,6339.910052,0.408875842,86.39885086,13.60114914,10286.137,5.162287844,24.75253829
27,ND,Midwest,752902,7,38958,703.752429,1.357895865,69.88346258,30.11653742,752.902,0.929735875,51.74378604
28,NE,Midwest,3023564,177,63317,1780.205839,0.800697765,79.88708576,20.11291424,3023.564,5.854018635,20.94118067
29,NH,Northeast,1355151,95,10161,1420.626974,0.700780784,87.95027444,12.04972556,1355.151,7.01028889,7.498057412
30,NJ,Northeast,8899152,771,223187,4582.57871,0.335007442,91.54035781,8.459642188,8899.152,8.663746838,25.07958062
31,NM,South,2083774,165,42249,1913.441197,0.554432174,89.92832428,10.07167572,2083.774,7.918325116,20.27523138
32,NV,West,3023564,759,93973,1588.177206,0.698902106,88.29014161,11.70985839,3023.564,25.10282567,31.08020865
33,NY,Northeast,19517264,1805,231041,9749.871503,0.220174632,92.73676712,7.263232876,19517.264,9.248222497,11.83777603
34,OH,Midwest,11680680,2056,196421,9238.905497,0.306370668,85.4783459,14.5216541,11680.68,17.60171497,16.81588743
