Key,Feature
0,bos metal
1,bos metal zone
2,metal zone
3,make powerful
4,vaccine make
5,vaccine make powerful
6,behind vaccine
7,behind vaccine withvp
8,deep state
9,deep state illuminati
10,different god
11,different god god
12,donaldtrump part
13,donaldtrump part satanic
14,food water
15,food water monsanto
16,gave power
17,gave power poisoning
18,god gave
19,god gave power
20,god god
21,god god gave
22,hate donaldtrump
23,hate donaldtrump part
24,illuminati serf
25,illuminati serf different
26,like hate
27,like hate donaldtrump
28,monsanto plus
29,monsanto plus behind
30,others like
31,others like hate
32,part satanic
33,part satanic deep
34,plus behind
35,plus behind vaccine
36,poisoning food
37,poisoning food water
38,power poisoning
39,power poisoning food
40,satanic deep
41,satanic deep state
42,serf different
43,serf different god
44,state illuminati
45,state illuminati serf
46,vaccine withvp
47,water monsanto
48,water monsanto plus
49,rate vaccine
50,survival rate
51,survival rate vaccine
52,autism million
53,child autism
54,extremely rare
55,least one
56,like autism
57,million family
58,mmr vaccine
59,pro vaxxers
60,pro vaxxers like
61,say pro
62,vaxxers like
63,chip implant
64,vaccination chip
65,wake people
66,better coverage
67,covid vaccine
68,get better
69,wait get
70,believe vaccine
71,believe vaccine cause
72,cause autism
73,vaccine cause
74,vaccine cause autism
75,autism clear
76,cause autism clear
77,evidence vaccine
78,evidence vaccine cause
79,mandated vaccine
80,method vaccine
81,vaccine distribution
82,whether vaccine
83,whether vaccine cause
84,autism covid
85,cause autism covid
86,fraud vaccine
87,hoax deep
88,hoax deep state
89,inside job
90,non existent
91,obama born
92,pizza parlor
93,voter fraud
94,widespread voter
95,widespread voter fraud
96,effect covid
97,effect covid vaccine
98,side effect
99,side effect covid
100,vaccine except
101,vaccine update
102,brain vaccine
103,control brain
104,lizard people
105,lizard people control
106,people control
107,vaccine fact
108,could make
109,get people
110,get vaccinated
111,get vaccinated get
112,make work
113,mean get
114,people sick
115,vaccinated get
116,work well
117,baby body
118,body choice
119,body choice right
120,body choice vaccine
121,choice right
122,choice vaccine
123,innocent baby
124,kill innocent
125,kill innocent baby
126,perfectly fine
127,change dna
128,dna future
129,dna future generation
130,future generation
131,good vaccine
132,take vaccine
133,take vaccine given
134,vaccine given
135,chip vaccine
136,conspiracy theorist
137,vaccine pal
138,wait tell
139,vaccine safe
140,american need
141,need help
142,chinese communist
143,deep state baby
144,occam razor
145,rino deep
146,rino deep state
147,state baby
148,tinfoil hat
149,vaccine chip
150,donate mine
151,mine someone
152,someone want
153,vaccine donate
154,vaccine donate mine
155,belong free
156,belong free society
157,care body
158,choose care
159,choose care body
160,citizen fast
161,citizen fast tracked
162,experimental liability
163,experimental liability free
164,fast tracked
165,fast tracked experimental
166,force injecting
167,force injecting citizen
168,free society
169,free society let
170,free vaccine
171,free vaccine unethical
172,injecting citizen
173,injecting citizen fast
174,let person
175,let person choose
176,liability free
177,liability free vaccine
178,mandate belong
179,mandate belong free
180,medical mandate
181,medical mandate belong
182,person choose
183,person choose care
184,philmurphynj force
185,philmurphynj force injecting
186,society let
187,society let person
188,tracked experimental
189,tracked experimental liability
190,unconstitutional medical
191,unconstitutional medical mandate
192,unethical unconstitutional
193,unethical unconstitutional medical
194,vaccine unethical
195,vaccine unethical unconstitutional
196,belief vaccine
197,belief vaccine cause
198,fucking stupid
199,back people
200,great question
201,keeping people
202,people vaccine
203,vaccine rushed
204,getting real
205,still think
206,marketing campaign
207,need vaccine
208,u want
209,vaccine done
210,want need
211,want need vaccine
212,bill gate
213,chip implanted
214,covid vaccine really
215,get covid
216,get covid vaccine
217,mark beast
218,one bill
219,one bill gate
220,really chip
221,reason get
222,vaccine really
223,vaccine really chip
224,accept vaccine
225,covid strain
226,different type
227,effective new
228,effective new covid
229,new covid
230,public health
231,u accept
232,u accept vaccine
233,vaccine effective
234,vaccine effective new
235,agenda force
236,take year
237,vaccine nazi
238,artificial intelligence
239,away vaccine
240,connect brain
241,darpa profusa
242,darpa profusa hydrogel
243,human race
244,hydrogel artificial
245,hydrogel artificial intelligence
246,internet cyborg
247,profusa hydrogel
248,profusa hydrogel artificial
249,bill gate probably
250,gate probably
251,good point
252,guitar pedal
253,guitar pedal vaccine
254,pedal vaccine
255,soros bill
256,soros bill gate
257,anti masker
258,anti vaccine
259,type stuff
260,disagree vaccine
261,ever love
262,greatest president
263,love want
264,one thing
265,president ever
266,thing want
267,vaccine etc
268,want know
269,bill gate using
270,forget bill
271,forget bill gate
272,gate using
273,gate using vaccine
274,inject u
275,metal zone mt
276,one worst
277,using vaccine
278,vaccine way
279,vaccine way inject
280,way inject
281,zone mt
282,dose vaccine
283,ever since
284,ever since getting
285,first dose
286,since getting
287,vaccine reception
288,wanna say
289,covid even
290,please stop
291,vaccine covid
292,wind turbine
293,doctor friend
294,friend vaccinate
295,good doctor
296,vaccinate child
297,antifa deep
298,antifa deep state
299,ask help
300,help vaccine
301,steal election
302,vaccine roll
303,going believe
304,imbedded vaccine
305,u still
306,deep state real
307,job vaccine
308,state real
309,vaccine rollout
310,covid vaccine injecting
311,get one
312,need get
313,one specifically
314,vaccine injecting
315,bad thing
316,flu shot
317,natural remedy
318,prefer natural
319,pretty much
320,thing think
321,think make
322,truth vaccine
323,vaccine heard
324,vaccine pretty
325,track every
326,tracking bullshit
327,vaccine tracking
328,anti covid
329,anti covid vaccine
330,covid vaccine conspiracy
331,free time
332,right wing
333,vaccine conspiracy
334,vaccine conspiracy theorist
335,allow corrupt
336,business closure
337,deep state puppet
338,look forward
339,mask vaccine
340,mask vaccine mandate
341,nwo deep
342,nwo deep state
343,order business
344,state puppet
345,vaccine mandate
346,away freedom
347,conspiracy microchip
348,conspiracy take
349,conspiracy theory
350,deep state conspiracy
351,election deep
352,election deep state
353,freedom vaccine
354,iron man
355,state conspiracy
356,take away
357,time nothing
358,coercion belong
359,coercion belong free
360,covid vaccine never
361,ensure covid
362,ensure covid vaccine
363,free society support
364,free vaccine must
365,garden state
366,mandate coercion
367,mandate coercion belong
368,mandated garden
369,mandated garden state
370,medical mandate coercion
371,must remain
372,must remain voluntary
373,never mandated
374,never mandated garden
375,nj medical
376,nj medical mandate
377,philmurphynj fast
378,philmurphynj fast tracked
379,remain voluntary
380,remain voluntary nj
381,society support
382,society support ensure
383,support ensure
384,support ensure covid
385,vaccine must
386,vaccine must remain
387,vaccine never
388,vaccine never mandated
389,voluntary nj
390,voluntary nj medical
391,gabby mosquera
392,child vaccinated
393,effect ingredient
394,getting one
395,good idea
396,idea might
397,might want
398,one good
399,one world
400,one world order
401,safe think
402,sheep vaccine
403,side effect ingredient
404,think getting
405,vaccinated covid
406,vaccine safe think
407,world order
408,yet allow
409,evil vaccine
410,certificate vaccine
411,certificate vaccine identification
412,vaccine identification
413,bill gate vaccine
414,gate vaccine
415,needle vaccine
416,vaccine vaccine
417,vaccine want
418,deep state using
419,state using
420,state using vaccine
421,using vaccine control
422,vaccine control
423,youtube video
424,control module
425,make sure
426,secret cabal
427,allergic reaction
428,day ago
429,per cdc
430,today ever
431,try force
432,two day
433,vaccine today
434,well vaccine
435,chemical killed
436,crazy people
437,emergency use
438,emergency use authorization
439,human trial
440,people want
441,rushed vaccine
442,sars vaccine
443,toxic chemical
444,toxic chemical killed
445,trial rushed
446,use authorization
447,vaccine emergency
448,vaccine trial
449,want injected
450,believe election
451,election result
452,exactly probably
453,maga rally
454,oh right
455,probably believe
456,right believe
457,vaccine kill
458,big mac
459,bill gate put
460,covid vaccine side
461,diet coke
462,even covid
463,even covid vaccine
464,gate put
465,vaccine side
466,vaccine side effect
467,wait minute
468,everyone get
469,feel like
470,get ready
471,power deep
472,power deep state
473,control people
474,mind control
475,side think
476,think covid
477,think covid vaccine
478,force vaccination
479,say want
480,stand say
481,united nation
482,vaccination deep
483,vaccination deep state
484,want hillary
485,covid microchip
486,covid microchip vaccine
487,microchip vaccine
488,sandy hook
489,tell trump
490,trump constitution
491,vaccine vote
492,cell service
493,cell service implanted
494,implanted arm
495,service implanted
496,service implanted arm
497,good thing
498,got covid
499,got covid vaccine
500,right right
501,since got
502,since got covid
503,believe covid
504,believe covid hoax
505,covid hoax
506,let people
507,people decide
508,ppl believe
509,take world
510,vaccine take
511,confederate flag
512,important recognize
513,real enemy
514,autism someone
515,cause autism someone
516,earth flat
517,earth flat vaccine
518,flat vaccine
519,flat vaccine cause
520,know earth
521,know earth flat
522,say something
523,someone say
524,someone say something
525,stimulus check
526,vaccine plan
527,would vaccine
528,face mask
529,face mask pushing
530,mask pushing
531,mask pushing vaccine
532,pushing vaccine
533,pushing vaccine wake
534,unhealthy face
535,unhealthy face mask
536,vaccine wake
537,chance get
538,could give
539,get chance
540,get sick
541,harmful side
542,harmful side effect
543,mask virus
544,still get
545,still get sick
546,still lockdown
547,still wear
548,still wear mask
549,virus chance
550,wear mask
551,anti semitic
552,daily basis
553,fear mongering
554,vaccine fear
555,corona virus
556,deep state vaccine
557,state vaccine
558,virus deep
559,virus deep state
560,choice get
561,choice get vaccine
562,fema camp
563,forced vaccination
564,get grip
565,get vaccine
566,made u
567,real get
568,rest people
569,rfid chip
570,u sick
571,vaccination would
572,want kill
573,would made
574,also believe
575,designed track
576,election fraud
577,microchip tower
578,think good
579,deep state working
580,penny deep
581,penny deep state
582,poison u
583,poison u vaccine
584,state working
585,u vaccine
586,already seeing
587,destroying vaccine
588,save people
589,vaccination site
590,vaccine vaccination
591,afraid vaccine
592,social medium
593,tracking chip
594,vaccine tracking chip
595,autism think
596,cause autism think
597,cause virus
598,five year
599,live world
600,people think
601,people think earth
602,think cause
603,think cause virus
604,think earth
605,think earth flat
606,think vaccine
607,think vaccine cause
608,better cell
609,come better
610,forget vaccine
611,vaccine come
612,vaccine come better
613,happening people
614,people saying
615,people saying covid
616,saying covid
617,saying covid vaccine
618,vaccine insert
619,cancer covid
620,cancer covid vaccine
621,cell phone
622,cell phone tracking
623,covid vaccine micro
624,give cancer
625,idiot think
626,phone tracking
627,think give
628,tracking location
629,vaccine micro
630,contains microchip
631,great deal
632,need new
633,sim card
634,sure great
635,vaccine contains
636,texgov force
637,texgov force injecting
638,angelapaxtontx force
639,angelapaxtontx force injecting
640,leachfortexas force
641,leachfortexas force injecting
642,concerned vaccine
643,everyone took
644,make think
645,vaccine remember
646,covid vaccine would
647,vaccine would
648,would probably
649,forced mandate
650,hurt u
651,public school
652,controlled tower
653,pandemic hoax
654,tracker vaccine
655,vaccine tracker
656,coronavirus vaccine
657,real american
658,vaccine created
659,find jesus
660,getting vaccine
661,keep getting
662,please advise
663,since getting vaccine
664,vaccine please
665,covid vaccine wow
666,phone signal
667,vaccine wow
668,vaccine clearly
669,yet maybe
670,operation warp
671,operation warp speed
672,speed vaccine
673,vaccine program
674,warp speed
675,warp speed vaccine
676,abort baby
677,black people
678,kill take
679,kill take vaccine
680,want abort
681,want abort baby
682,fuck anyone
683,go fuck
684,hoax go
685,spread virus
686,support trump
687,think vaccine hoax
688,vaccine hoax
689,virus think
690,virus think vaccine
691,many people
692,many people think
693,people think vaccine
694,around u
695,etc way
696,lab rat
697,like lab
698,like lab rat
699,really pushing
700,school etc
701,u everyone
702,u like
703,mon man
704,corona vaccine
705,microsoft word
706,vaccine think
707,count vaccine
708,fake death
709,vaccine microchip
710,getting u
711,know anything
712,let put
713,put charge
714,stacy abrams
715,timely manner
716,u vaccinated
717,vaccinated timely
718,vaccinated timely manner
719,must vaccinate
720,still alive
721,vaccinate list
722,get vaccine go
723,last night
724,vaccine go
725,bill gate putting
726,chip bill
727,chip bill gate
728,gate putting
729,putting vaccine
730,science real
731,oh lord
732,turn gay
733,vaccination turn
734,continue spread
735,mask social
736,mask social distance
737,social distance
738,trump continue
739,deep state nanobots
740,got vaccine
741,state nanobots
742,sure deep
743,sure deep state
744,tracking software
745,vaccine waiting
746,anit vaxxers
747,autism vaccine
748,autism vaccine cause
749,cause autism vaccine
750,vaxxers think
751,vaxxers think vaccine
752,killing people
753,people vaccinate
754,dangerous unethical
755,exemption dangerous
756,exemption dangerous unethical
757,forced mandate removal
758,harmed forced
759,harmed forced mandate
760,helped harmed
761,helped harmed forced
762,mandate removal
763,mandate removal exemption
764,removal exemption
765,removal exemption dangerous
766,vaccination helped
767,vaccination helped harmed
768,forcing mandate
769,forcing mandate removal
770,harmed forcing
771,harmed forcing mandate
772,helped harmed forcing
773,every nurse
774,got microchip
775,gotten vaccine
776,microchip fucking
777,anti vaxx
778,ever known
779,life saving
780,life saving vaccine
781,saving vaccine
782,see still
783,still believe
784,mail ballot
785,vaccine faster
786,family member
787,member vaccine
788,say think
789,say think vaccine
790,best way
791,country get
792,get america
793,get get
794,get raise
795,bill gate inject
796,enabled vaccine
797,gate inject
798,never find
799,tracking device
800,covid vaccine chip
801,fact covid
802,fact covid vaccine
803,get mad
804,high speed
805,high speed internet
806,people get
807,speed internet
808,walking around
809,deep state expected
810,plan year
811,pushing covid
812,pushing covid vaccine
813,state expected
814,thing expecting
815,trust plan
816,alex jones
817,good little
818,keep listening
819,little boy
820,probably think
821,probably think vaccine
822,cannot believe
823,chemical vaccine
824,everyone take
825,force everyone
826,toxic chemical vaccine
827,ai control
828,gate put microchip
829,like antenna
830,like bad
831,microchip ai
832,million u
833,put microchip
834,sound like
835,u citizen
836,vaccine sound
837,vaccine sound like
838,need one
839,political party
840,question need
841,vaccinate yet
842,anybody know
843,know long
844,use microsoft
845,probably vaccine
846,vaccine fall
847,call new
848,last year
849,new world
850,new world order
851,race religion
852,think need
853,vaccine race
854,covid virus
855,covid virus vaccine
856,vaccine job
857,virus vaccine
858,believing vaccine
859,believing vaccine cause
860,old folk
861,people believing
862,people believing vaccine
863,let tell
864,tell ya
865,upgrade phone
866,granted immunity
867,granted immunity prosecution
868,immunity prosecution
869,would granted
870,would granted immunity
871,gun get
872,hoax virus
873,vaccinated hoax
874,around world
875,covid vaccine yesterday
876,vaccine yesterday
877,anything coming
878,right vaccine
879,right vaccine cause
880,look like
881,vaccine probably
882,funding state
883,actually coming
884,phone vaccine
885,vaccine fault
886,alleged effectiveness
887,alleged effectiveness flu
888,effectiveness flu
889,effectiveness flu virus
890,exempt liability
891,exempt liability alleged
892,flu virus
893,flu virus survival
894,liability alleged
895,liability alleged effectiveness
896,pushing rushed
897,virus survival
898,virus survival rate
899,get vaccine virus
900,go movie
901,like told
902,make law
903,movie etc
904,people make
905,tell get
906,tell get vaccine
907,travel plane
908,vaccine virus
909,vaccine virus survival
910,adverse reaction
911,meaning sue
912,pharmaceutical company
913,called vaccine
914,like would
915,seems like
916,vaccine injured
917,covid test
918,disease ever
919,internment camp
920,refuse vaccine
921,test positive
922,bill gate chip
923,gate chip
924,gate chip vaccine
925,george soros
926,george soros use
927,soros use
928,use tower
929,vaccine total
930,also people
931,autism earth
932,autism earth flat
933,cause autism earth
934,climate change
935,covid fake
936,covid fake vaccine
937,fake vaccine
938,fake vaccine cause
939,people also
940,real covid
941,another way
942,control thought
943,deep state implant
944,george soros deep
945,high school
946,implant u
947,kill baby
948,make u
949,microchip control
950,said vaccine
951,soros deep
952,soros deep state
953,state implant
954,state implant u
955,u microchip
956,u microchip control
957,vaccine another
958,even worse
959,like million
960,vaccine like
961,worse vaccine
962,come covid
963,covid global
964,except come
965,global warming
966,vaccine fuck
967,believe believe
968,bet think
969,choose believe
970,leader believe
971,political leader
972,vaccination huh
973,abuse vaccine
974,child abuse
975,vaccine mask
976,vaccine gave
977,also believe earth
978,autism go
979,belief covid
980,belief covid hoax
981,believe earth
982,believe earth flat
983,cause autism go
984,covid hoax probably
985,echo chamber
986,go back
987,hoax probably
988,oh see
989,probably also
990,probably also believe
991,microchip vaccine conspiracy
992,healthcare worker
993,election stealing
994,good loving
995,vaccine metal
996,one taking
997,safe one
998,taking one
999,vaccine safe one
1000,dangerous side
1001,dangerous side effect
1002,effect unknown
1003,efficacy dangerous
1004,efficacy dangerous side
1005,experimental vaccine
1006,guinea pig
1007,human guinea
1008,human guinea pig
1009,nuremberg law
1010,side effect unknown
1011,vaccine anyone
1012,version vaccine
1013,version vaccine cause
1014,vaccinate undocumented
1015,calling vaccine
1016,prefer vaccine
1017,vaccine poison
1018,virus calling
1019,virus calling vaccine
1020,evil aka
1021,placebo real
1022,real thing
1023,right think
1024,tell take
1025,think dr
1026,nano technology
1027,saying vaccine
1028,vaccine got
1029,called immune
1030,called immune system
1031,immune system
1032,otherwise healthy
1033,people need
1034,vaccine talking
1035,covid vaccine le
1036,created covid
1037,election one
1038,landed moon
1039,le year
1040,vaccine le
1041,vaccine le year
1042,thdistrictnj fast
1043,thdistrictnj fast tracked
1044,bogus vaccine
1045,give shit
1046,vaccine care
1047,gate injecting
1048,gate injecting u
1049,injecting u
1050,stop steal
1051,u fake
1052,u fake vaccine
1053,vaccine stop
1054,went full
1055,deny vaccine
1056,get abortion
1057,pro life
1058,vaccine access
1059,woman choice
1060,anyone want
1061,deep state demon
1062,people mind
1063,recovery rate
1064,state demon
1065,vaccinated virus
1066,virus recovery
1067,virus recovery rate
1068,want vaccinated
1069,would anyone
1070,would anyone want
1071,pay attention
1072,medical procedure
1073,right choose
1074,sponsor bill
1075,deep state nwo
1076,nwo plan
1077,one want
1078,people take
1079,poisonous vaccine
1080,state nwo
1081,take poison
1082,vaccine living
1083,already virus
1084,god bless
1085,lost many
1086,man vaccine
1087,one year
1088,vaccine already
1089,virus like
1090,convinced vaccine
1091,convinced vaccine cause
1092,vaccinate son
1093,america great
1094,chemical stop
1095,fluoride water
1096,rule world
1097,stop allowing
1098,vaccination stop
1099,go camp
1100,oh yeah
1101,put chip
1102,put chip vaccine
1103,want track
1104,american people
1105,b people
1106,believe cause
1107,dna vaccine
1108,fucking christ
1109,people believe
1110,people believe cause
1111,people put
1112,vaccine fucking
1113,get choose
1114,live get
1115,hydroxychloroquine vaccine
1116,take chance
1117,autism mean
1118,cause autism mean
1119,said vaccine cause
1120,able track
1121,control mind
1122,elon musk
1123,everyone earth
1124,track everyone
1125,like covid
1126,like covid vaccine
1127,lot like
1128,friend mine
1129,took covid
1130,took covid vaccine
1131,vaccine dec
1132,autism every
1133,cause autism every
1134,every vaccine
1135,invented vaccine
1136,vaccine get
1137,vaccine since
1138,chip make
1139,get vaccine chip
1140,metal zone pedal
1141,vaccine chip make
1142,zone pedal
1143,vaccine right
1144,big pharma
1145,et al
1146,fauci birx
1147,fda cdc
1148,liability vaccine
1149,pharma liability
1150,vaccinate virus
1151,vaccine video
1152,people still
1153,people still think
1154,remember people
1155,still think world
1156,think world
1157,think world flat
1158,world flat
1159,world flat vaccine
1160,chip get
1161,chip get vaccine
1162,signal use
1163,vaccine pay
1164,wait saying
1165,nano particle
1166,result vaccine
1167,vaccine could
1168,vaccine mandated
1169,feel great
1170,phone get
1171,download speed
1172,vaccine much
1173,covid think
1174,give covid
1175,think vaccine give
1176,vaccine give
1177,flip switch
1178,tower activate
1179,vaccine everyone
1180,anyone research
1181,baby given
1182,child anyone
1183,mother injured
1184,please vaccinate
1185,precious child
1186,research poison
1187,vaccinate precious
1188,vaccinate precious child
1189,vaccine last
1190,activation receptor
1191,activation receptor toxin
1192,agent conspiracy
1193,agent conspiracy theory
1194,conspiracy theory sure
1195,containing activation
1196,containing activation receptor
1197,even containing
1198,even containing activation
1199,hell trial
1200,hell trial run
1201,line mandated
1202,line mandated vaccine
1203,mandated vaccine contrary
1204,program voluntarily
1205,program voluntarily line
1206,receptor toxin
1207,receptor toxin agent
1208,run program
1209,run program voluntarily
1210,sure hell
1211,sure hell trial
1212,theory sure
1213,theory sure hell
1214,toxin agent
1215,toxin agent conspiracy
1216,trial run
1217,trial run program
1218,vaccine contrary
1219,voluntarily line
1220,voluntarily line mandated
1221,back normal
1222,life back
1223,vaccinate everyone
1224,well vaccinate
1225,give vaccine
1226,rather die
1227,vaccine rather
1228,movie vaccine
1229,think fine
1230,case number
1231,positive test
1232,cv vaccine
1233,immunity many
1234,listen fauci
1235,many adverse
1236,many adverse reaction
1237,vaccine cv
1238,bar restaurant
1239,literally anything
1240,please vaccine
1241,really hate
1242,vaccine able
1243,would really
1244,list vaccine
1245,vaccine call
1246,sense one
1247,stop listening
1248,trump lie
1249,conspiracy deep
1250,conspiracy deep state
1251,deep state includes
1252,microchip covid
1253,microchip covid vaccine
1254,putting tracking
1255,state includes
1256,tracking microchip
1257,vaccine use
1258,wait people
1259,effect hope
1260,enough data
1261,public education
1262,required get
1263,term effect
1264,executive order
1265,forced work
1266,wont vaccinate
1267,follow money
1268,major money
1269,u covid
1270,u covid vaccine
1271,first vaccine
1272,got first
1273,got first vaccine
1274,much better
1275,animal trial
1276,caused death
1277,experimental mrna
1278,experimental mrna vaccine
1279,mrna vaccine
1280,promoting vaccine
1281,vaccine always
1282,chip deep
1283,chip deep state
1284,deep state put
1285,put covid
1286,state put
1287,next year
1288,get vaccinated covid
1289,making sure
1290,undocumented worker
1291,get microchip
1292,get microchip vaccine
1293,chip inserted
1294,inserted covid
1295,inserted covid vaccine
1296,people started
1297,bill gate minion
1298,bloodstream unsuspecting
1299,bloodstream unsuspecting people
1300,chip bloodstream
1301,chip bloodstream unsuspecting
1302,covid vaccine quite
1303,diagram show
1304,diagram show secret
1305,gate minion
1306,gate minion inject
1307,hell mids
1308,holy fuck
1309,inject chip
1310,inject chip bloodstream
1311,minion inject
1312,minion inject chip
1313,people get covid
1314,plan bill
1315,plan bill gate
1316,quite sure
1317,quite sure scoop
1318,scoop hell
1319,scoop hell mids
1320,secret plan
1321,secret plan bill
1322,show secret
1323,show secret plan
1324,sure scoop
1325,sure scoop hell
1326,unsuspecting people
1327,unsuspecting people get
1328,vaccine quite
1329,vaccine quite sure
1330,autism conspiracy
1331,back vaccine
1332,back vaccine cause
1333,cause autism conspiracy
1334,call covid
1335,called flu
1336,covid mutation
1337,deep state run
1338,every year
1339,flu strain
1340,like every
1341,like every year
1342,one strain
1343,people call
1344,scare people
1345,state run
1346,strain like
1347,god vaccine
1348,oh god
1349,oh god vaccine
1350,u get
1351,vaccine hesitancy
1352,covid vaccine started
1353,getting covid
1354,getting covid vaccine
1355,going vaccine
1356,vaccine started
1357,believe anything
1358,many republican
1359,understand many
1360,vaccine believe
1361,actually bos
1362,covid vaccine actually
1363,implanted covid
1364,implanted covid vaccine
1365,vaccine actually
1366,whole thing
1367,dont get
1368,dont get vaccine
1369,get government
1370,idiotic idea
1371,u damn
1372,vaccine continue
1373,given vaccine
1374,list ingredient
1375,safe injecting
1376,vaccine ask
1377,as get
1378,get head
1379,make happy
1380,medium saying
1381,medium saying vaccine
1382,vaccine necessary
1383,virus bad
1384,acting like
1385,getting vaccinated
1386,letting know
1387,like phone
1388,pfizer vaccine
1389,autism need
1390,cause autism need
1391,like people
1392,like people still
1393,people going
1394,people still believe
1395,research data
1396,still believe vaccine
1397,friend got
1398,friend got vaccine
1399,get free
1400,say get
1401,vaccine say
1402,fuck vaccine
1403,get first
1404,go work
1405,ruling class
1406,still go
1407,vaccine though
1408,going stop
1409,nursing home
1410,stop vaccination
1411,want control
1412,exactly vaccine
1413,keep u
1414,keep u locked
1415,many u
1416,much like
1417,saying also
1418,u locked
1419,bill gate microchipping
1420,control bill
1421,gate microchipping
1422,microchipping vaccine
1423,need hear
1424,vaccine apparently
1425,approves pfizer
1426,approves pfizer vaccine
1427,distribution u
1428,distribution u pfizer
1429,emergency distribution
1430,emergency distribution u
1431,fda approves
1432,fda approves pfizer
1433,moderna others
1434,moderna others vaccine
1435,others vaccine
1436,others vaccine poison
1437,pfizer moderna
1438,pfizer moderna others
1439,pfizer vaccine emergency
1440,u pfizer
1441,u pfizer moderna
1442,vaccine emergency distribution
